Pad (bar),Temp. (¡ÆC),Feed rate (SLPM),Rinse rate (SLPM),Pde (bar),Recovery (%),Purity (%),f_VC
2.5,60,6.5,1.4,0.05,56.2027,97.8898,1.811818707
2.5,60,6.5,1.5,0.05,54.7163,99.3005,1.883579993
2.5,60,6.5,1.6,0.05,50.4354,99.9818,1.904387676
2.5,60,6.5,1.65,0.05,47.3164,99.9949,1.902209646
2.5,60,6.5,1.7,0.05,44.0621,99.9975,1.898859648
2.5,60,8,0.8,0.05,51.0321,89.8845,1.425126716
2.5,60,8,1,0.05,49.9503,91.923,1.552086707
2.5,60,8,1.2,0.05,48.4703,95.1151,1.684860904
2.5,60,8,1.4,0.05,46.6988,98.0961,1.828654652
2.5,60,8,1.5,0.05,45.35,99.4911,1.897151455
2.5,60,8,1.6,0.05,41.3959,99.9862,1.909199196
2.5,60,8,1.65,0.05,38.8065,99.9953,1.906357543
2.5,60,8,1.7,0.05,36.1204,99.9967,1.90247232
2.5,60,2,0.8,0.1,89.9562,79.0948,0.909164865
2.5,60,2,1,0.1,89.3386,83.4628,1.048424644
2.5,60,2,1.2,0.1,87.0662,88.4603,1.192462687
2.5,60,2,1.4,0.1,83.7491,92.7745,1.343419204
2.5,60,2,1.5,0.1,81.5834,94.7209,1.421160665
2.5,60,2,1.6,0.1,78.9181,96.5496,1.500323703
2.5,60,2,1.65,0.1,77.3165,97.4245,1.540395219
2.5,60,2,1.7,0.1,75.4556,98.2726,1.580634392
2.5,60,3.5,0.8,0.1,77.2655,85.511,1.111636278
2.5,60,3.5,1,0.1,76.5934,88.672,1.248157172
2.5,60,3.5,1.2,0.1,74.7849,92.7405,1.389807708
2.5,60,3.5,1.4,0.1,72.0891,96.2835,1.538970017
2.5,60,3.5,1.5,0.1,70.0923,97.9056,1.615259082
2.5,60,3.5,1.6,0.1,67.4241,99.491,1.68844282
2.5,60,3.5,1.65,0.1,64.6273,99.9831,1.704472115
2.5,60,3.5,1.7,0.1,59.7583,99.9973,1.70631402
2.5,60,5,0.8,0.1,63.2868,87.6565,1.211546987
2.5,60,5,1,0.1,62.0885,90.5213,1.341060141
2.5,60,5,1.2,0.1,60.2291,94.2416,1.476964233
2.5,60,5,1.4,0.1,57.8559,97.5837,1.623195809
2.5,60,5,1.5,0.1,56.0486,99.1287,1.69634179
2.5,60,5,1.6,0.1,51.0335,99.9814,1.7221349
2.5,60,5,1.65,0.1,47.0875,99.9953,1.719509787
2.5,60,5,1.7,0.1,42.9234,99.9976,1.715287001
2.5,60,6.5,0.8,0.1,51.1428,88.2322,1.243963517
2.5,60,6.5,1,0.1,50.0169,91.0438,1.371282325
2.5,60,6.5,1.2,0.1,48.4222,94.6639,1.505149476
2.5,60,6.5,1.4,0.1,46.4436,97.9637,1.650451816
2.5,60,6.5,1.5,0.1,44.7958,99.4816,1.673859983
2.5,60,6.5,1.6,0.1,39.9071,99.9877,1.728436197
2.5,60,6.5,1.65,0.1,36.7369,99.9957,1.724456707
2.5,60,6.5,1.7,0.1,33.4465,99.9977,1.719261741
2.5,60,8,0.8,0.1,42.5878,88.4898,1.259962243
2.5,60,8,1,0.1,41.6053,91.2845,1.38641564
2.5,60,8,1.2,0.1,40.2556,94.862,1.519469327
2.5,60,8,1.4,0.1,38.5888,98.1412,1.664331836
2.5,60,8,1.5,0.1,37.0802,99.626,1.728541717
2.5,60,8,1.6,0.1,32.7722,99.9894,1.732325296
2.5,60,8,1.65,0.1,30.1531,99.9959,1.727798891
2.5,60,8,1.7,0.1,27.4477,99.9977,1.722163218
2.5,60,2,0.8,0.15,82.5982,79.5188,0.857813376
2.5,60,2,1,0.15,81.4509,84.8856,0.992401536
2.5,60,2,1.2,0.15,78.5517,89.9716,1.133081454
2.5,60,2,1.4,0.15,74.2462,94.308,1.280339846
2.5,60,2,1.5,0.15,71.3228,96.2573,1.355969727
2.5,60,2,1.6,0.15,67.5237,98.0813,1.432452016
2.5,60,2,1.65,0.15,65.1849,98.9606,1.47063218
2.5,60,2,1.7,0.15,63.2858,99.922,1.504426154
2.5,60,3.5,0.8,0.15,66.3655,84.509,1.009284114
2.5,60,3.5,1,0.15,65.3385,88.8101,1.141089256
2.5,60,3.5,1.2,0.15,63.2965,93.1614,1.279771678
2.5,60,3.5,1.4,0.15,60.2345,96.9219,1.426358445
2.5,60,3.5,1.5,0.15,57.7686,98.6134,1.499715465
2.5,60,3.5,1.6,0.15,53.0529,99.9694,1.546701392
2.5,60,3.5,1.65,0.15,48.0501,99.9957,1.54616348
2.5,60,3.5,1.7,0.15,42.3704,99.9979,1.542008394
2.5,60,5,0.8,0.15,52.2608,86.0492,1.072023597
2.5,60,5,1,0.15,51.0598,89.9949,1.199005279
2.5,60,5,1.2,0.15,49.2705,94.1119,1.334092657
2.5,60,5,1.4,0.15,46.8495,97.7628,1.479770192
2.5,60,5,1.5,0.15,44.6951,99.4106,1.54796719
2.5,60,5,1.6,0.15,38.5756,99.9894,1.557972114
2.5,60,5,1.65,0.15,34.5214,99.9963,1.553038446
2.5,60,5,1.7,0.15,30.279,99.9979,1.546401462
2.5,60,6.5,0.8,0.15,42.0017,86.5622,1.095683748
2.5,60,6.5,1,0.15,40.9331,90.4036,1.221148648
2.5,60,6.5,1.2,0.15,39.45,94.442,1.354914093
2.5,60,6.5,1.4,0.15,37.4848,98.0562,1.500048402
2.5,60,6.5,1.5,0.15,35.5352,99.6509,1.562237345
2.5,60,6.5,1.6,0.15,30.1633,99.9909,1.562529399
2.5,60,6.5,1.65,0.15,26.9541,99.9963,1.556610111
2.5,60,6.5,1.7,0.15,23.6327,99.9978,1.549270308
2.5,60,8,0.8,0.15,34.975,86.8315,1.10894534
2.5,60,8,1,0.15,34.051,90.6171,1.233572209
2.5,60,8,1.2,0.15,32.8049,94.6147,1.366679844
2.5,60,8,1.4,0.15,31.1601,98.2071,1.51142308
2.5,60,8,1.5,0.15,29.3832,99.7419,1.568927589
2.5,60,8,1.6,0.15,24.8018,99.9915,1.565707803
2.5,60,8,1.65,0.15,22.1597,99.9963,1.559328991
2.5,60,8,1.7,0.15,19.4371,99.9978,1.55163281
